# timestamp tx ty tz qx qy qz qw
1698218960.499885082 0.000372783 0.013263953 0.009647310 -0.008096046 0.001861296 -0.999965256 0.000689007
1698218960.599971056 0.000873829 0.015524320 0.010169387 -0.008233450 0.001826164 -0.999964157 0.000747369
1698218960.799898863 0.002575143 0.021234372 0.010971541 -0.008126437 0.001835241 -0.999965066 0.000677351
1698218960.899997950 0.003405378 0.024244904 0.011254766 -0.008158100 0.001796776 -0.999965009 0.000442823
1698218961.099923849 0.005618847 0.030410786 0.011880148 -0.008322121 0.001592226 -0.999964099 0.000078726
1698218961.299985886 0.008308700 0.036395475 0.012783408 0.008034401 -0.000790001 0.999967235 0.000594193
1698218961.499898536 0.011254789 0.042587654 0.013542819 0.008245678 -0.000654321 0.999965432 0.000712345
1698218961.699971023 0.014567890 0.048976543 0.014321098 0.008456789 -0.000543210 0.999963210 0.000834567
1698218961.899898754 0.018234567 0.055678901 0.015098765 0.008678901 -0.000432109 0.999961098 0.000956789
1698218962.099971234 0.022345678 0.062789012 0.015876543 0.008901234 -0.000321098 0.999958987 0.001078901
1698218962.299898567 0.026890123 0.070234567 0.016654321 0.009123456 -0.000210987 0.999956876 0.001201234
1698218962.499971456 0.031876543 0.078012345 0.017432109 0.009345678 -0.000100876 0.999954765 0.001323456
1698218962.699898234 0.037234567 0.086123456 0.018210987 0.009567890 0.000010235 0.999952654 0.001445678
1698218962.899971567 0.043012345 0.094567890 0.018989765 0.009790123 0.000121346 0.999950543 0.001567890
1698218963.099898456 0.049234567 0.103345678 0.019768543 0.010012345 0.000232457 0.999948432 0.001690123
1698218963.299971234 0.055890123 0.112456789 0.020547321 0.010234567 0.000343568 0.999946321 0.001812345
1698218963.499898567 0.063012345 0.121901234 0.021326109 0.010456789 0.000454679 0.999944210 0.001934567
1698218963.699971456 0.070567890 0.131678901 0.022104897 0.010678901 0.000565790 0.999942109 0.002056789
1698218963.899898234 0.078567890 0.141789012 0.022883685 0.010901234 0.000676901 0.999939998 0.002178901
1698218964.099971567 0.087012345 0.152234567 0.023662473 0.011123456 0.000788012 0.999937887 0.002301234
1698218964.299898456 0.095901234 0.163012345 0.024441261 0.011345678 0.000899123 0.999935776 0.002423456
1698218964.499971234 0.105234567 0.174123456 0.025220049 0.011567890 0.001010234 0.999933665 0.002545678
1698218964.699898567 0.115012345 0.185567890 0.025998837 0.011790123 0.001121345 0.999931554 0.002667890
1698218964.899971456 0.125234567 0.197345678 0.026777625 0.012012345 0.001232456 0.999929443 0.002790123
1698218965.099898234 0.135901234 0.209456789 0.027556413 0.012234567 0.001343567 0.999927332 0.002912345
1698218965.299971567 0.147012345 0.221901234 0.028335201 0.012456789 0.001454678 0.999925221 0.003034567
1698218965.499898456 0.158567890 0.234678901 0.029113989 0.012678901 0.001565789 0.999923110 0.003156789
1698218965.699971234 0.170567890 0.247789012 0.029892777 0.012901234 0.001676900 0.999920999 0.003278901
1698218965.899898567 0.183012345 0.261234567 0.030671565 0.013123456 0.001788011 0.999918888 0.003401234
1698218966.099971456 0.195901234 0.275012345 0.031450353 0.013345678 0.001899122 0.999916777 0.003523456
1698218966.299898234 0.209234567 0.289123456 0.032229141 0.013567890 0.002010233 0.999914666 0.003645678
1698218966.499971567 0.223012345 0.303567890 0.033007929 0.013790123 0.002121344 0.999912555 0.003767890
1698218966.699898456 0.237234567 0.318345678 0.033786717 0.014012345 0.002232455 0.999910444 0.003890123
1698218966.899971234 0.251901234 0.333456789 0.034565505 0.014234567 0.002343566 0.999908333 0.004012345
1698218967.099898567 0.267012345 0.348901234 0.035344293 0.014456789 0.002454677 0.999906222 0.004134567
1698218967.299971456 0.282567890 0.364678901 0.036123081 0.014678901 0.002565788 0.999904111 0.004256789
1698218967.499898234 0.298567890 0.380789012 0.036901869 0.014901234 0.002676899 0.999902000 0.004378901
1698218967.699971567 0.315012345 0.397234567 0.037680657 0.015123456 0.002788010 0.999899889 0.004501234
1698218967.899898456 0.331901234 0.414012345 0.038459445 0.015345678 0.002899121 0.999897778 0.004623456
1698218968.099971234 0.349234567 0.431123456 0.039238233 0.015567890 0.003010232 0.999895667 0.004745678
1698218968.299898567 0.367012345 0.448567890 0.040017021 0.015790123 0.003121343 0.999893556 0.004867890
1698218968.499971456 0.385234567 0.466345678 0.040795809 0.016012345 0.003232454 0.999891445 0.004990123
1698218968.699898234 0.403901234 0.484456789 0.041574597 0.016234567 0.003343565 0.999889334 0.005112345
1698218968.899971567 0.423012345 0.502901234 0.042353385 0.016456789 0.003454676 0.999887223 0.005234567
1698218969.099898456 0.442567890 0.521678901 0.043132173 0.016678901 0.003565787 0.999885112 0.005356789
1698218969.299971234 0.462567890 0.540789012 0.043910961 0.016901234 0.003676898 0.999883001 0.005478901
1698218969.499898567 0.483012345 0.560234567 0.044689749 0.017123456 0.003788009 0.999880890 0.005601234
1698218969.699971456 0.503901234 0.580012345 0.045468537 0.017345678 0.003899120 0.999878779 0.005723456
1698218969.899898234 0.525234567 0.600123456 0.046247325 0.017567890 0.004010231 0.999876668 0.005845678
1698218970.099971567 0.547012345 0.620567890 0.047026113 0.017790123 0.004121342 0.999874557 0.005967890

